TopLevelDescription,GradeLevelText,TypeName,Description,CompleteNumber
"Explain major differences between books that tell stories and books that give information, drawing on a wide reading or range of text types. ",1st Grade,Standard,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading or range of text types. ",CC.1.3.1.E
Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,1st Grade,Standard,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,CC.1.3.1.F
"Use illustrations and details in a story to describe characters, setting, or events.",1st Grade,Standard,"Use illustrations and details in a story to describe characters, setting, or events.",CC.1.3.1.G
Compare and contrast the adventures and experiences of characters in stories. ,1st Grade,Standard,Compare and contrast the adventures and experiences of characters in stories. ,CC.1.3.1.H
Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade-level reading and content,1st Grade,Standard,Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade-level reading and content,CC.1.3.1.I
"Use words and phrases acquired through conversations, reading, and being read to, and responding to texts, including words that signal connections and relationships between the words and phrases. ",1st Grade,Standard,"Use words and phrases acquired through conversations, reading, and being read to, and responding to texts, including words that signal connections and relationships between the words and phrases. ",CC.1.3.1.J
"Read and comprehend literature on grade-level, reading independently and proficiently.",1st Grade,Standard,"Read and comprehend literature on grade-level, reading independently and proficiently.",CC.1.3.1.K
Writing: Students write for different purposes and audiences. Students write clear and focused text to convey a well-defined perspective and appropriate content.,12th Grade,Standard Area,Writing: Students write for different purposes and audiences. Students write clear and focused text to convey a well-defined perspective and appropriate content.,CC.1.4
GRADE 1,1st Grade,Grade Level,GRADE 1,CC.1.4.1
Write informative/ explanatory texts to examine a topic and convey ideas and information.,1st Grade,Standard,Write informative/ explanatory texts to examine a topic and convey ideas and information.,CC.1.4.1.A
Identify and write about one specific topic. ,1st Grade,Standard,Identify and write about one specific topic. ,CC.1.4.1.B
Develop the topic with two or more facts. ,1st Grade,Standard,Develop the topic with two or more facts. ,CC.1.4.1.C
Group information and provide some sense of closure. ,1st Grade,Standard,Group information and provide some sense of closure. ,CC.1.4.1.D
Choose words and phrases for effect. ,1st Grade,Standard,Choose words and phrases for effect. ,CC.1.4.1.E
"Demonstrate a grade-appropriate command of the conventions of standard English grammar, usage, capitalization, punctuation, and spelling.  
• Capitalize dates and names of people.  
• Use end punctuation; use commas in dates and words in series.  
• Spell words drawing on common spelling patterns, phonemic awareness and spelling conventions.",1st Grade,Standard,"Demonstrate a grade-appropriate command of the conventions of standard English grammar, usage, capitalization, punctuation, and spelling.  
• Capitalize dates and names of people.  
• Use end punctuation; use commas in dates and words in series.  
• Spell words drawing on common spelling patterns, phonemic awareness and spelling conventions.",CC.1.4.1.F
Write opinion pieces on familiar topics.,1st Grade,Standard,Write opinion pieces on familiar topics.,CC.1.4.1.G
Form an opinion by choosing among given topics. ,1st Grade,Standard,Form an opinion by choosing among given topics. ,CC.1.4.1.H
Support the opinion with reasons related to the opinion. ,1st Grade,Standard,Support the opinion with reasons related to the opinion. ,CC.1.4.1.I
Create an organizational structure that includes reasons and provides some sense of closure. ,1st Grade,Standard,Create an organizational structure that includes reasons and provides some sense of closure. ,CC.1.4.1.J
Use a variety of words and phrases. ,1st Grade,Standard,Use a variety of words and phrases. ,CC.1.4.1.K
"Demonstrate a grade-appropriate command of the conventions of standard English grammar, usage, capitalization, punctuation, and spelling.  
• Capitalize dates and names of people.  
• Use end punctuation; use commas in dates and words in series.  
• Spell words drawing on common spelling patterns, phonemic awareness and spelling conventions.",1st Grade,Standard,"Demonstrate a grade-appropriate command of the conventions of standard English grammar, usage, capitalization, punctuation, and spelling.  
• Capitalize dates and names of people.  
• Use end punctuation; use commas in dates and words in series.  
• Spell words drawing on common spelling patterns, phonemic awareness and spelling conventions.",CC.1.4.1.L
Write narratives to develop real or imagined experiences or events.  ,1st Grade,Standard,Write narratives to develop real or imagined experiences or events.  ,CC.1.4.1.M
Establish who and what the narrative will be about.,1st Grade,Standard,Establish who and what the narrative will be about.,CC.1.4.1.N
Include thoughts and feelings to describe experiences and events,1st Grade,Standard,Include thoughts and feelings to describe experiences and events,CC.1.4.1.O
Recount two or more appropriately sequences events using temporal words to signal event order and provide some sense of closure.  ,1st Grade,Standard,Recount two or more appropriately sequences events using temporal words to signal event order and provide some sense of closure.  ,CC.1.4.1.P
Use a variety of words and phrases. ,1st Grade,Standard,Use a variety of words and phrases. ,CC.1.4.1.Q
"Demonstrate a grade-appropriate command of the conventions of standard English grammar, usage, capitalization, punctuation, and spelling.  
• Capitalize dates and names of people.  
• Use end punctuation; use commas in dates and words in series.  
• Spell words drawing on common spelling patterns, phonemic awareness and spelling conventions.",1st Grade,Standard,"Demonstrate a grade-appropriate command of the conventions of standard English grammar, usage, capitalization, punctuation, and spelling.  
• Capitalize dates and names of people.  
• Use end punctuation; use commas in dates and words in series.  
• Spell words drawing on common spelling patterns, phonemic awareness and spelling conventions.",CC.1.4.1.R
"With guidance and support from adults and peers, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed. ",1st Grade,Standard,"With guidance and support from adults and peers, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed. ",CC.1.4.1.T
"With guidance and support, use a variety of digital tools to produce and publish writing including in collaboration with peers.",1st Grade,Standard,"With guidance and support, use a variety of digital tools to produce and publish writing including in collaboration with peers.",CC.1.4.1.U
Participate in individual or shared research and writing projects.,1st Grade,Standard,Participate in individual or shared research and writing projects.,CC.1.4.1.V
"With guidance and support, recall information from experiences or gather information from provided sources to answer a question. ",1st Grade,Standard,"With guidance and support, recall information from experiences or gather information from provided sources to answer a question. ",CC.1.4.1.W
"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes and audiences.",1st Grade,Standard,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes and audiences.",CC.1.4.1.X
"Speaking and Listening: Students present appropriately in formal speaking situations, listen critically, and respond intelligently as individuals or in group discussions.",12th Grade,Standard Area,"Speaking and Listening: Students present appropriately in formal speaking situations, listen critically, and respond intelligently as individuals or in group discussions.",CC.1.5
GRADE 1,1st Grade,Grade Level,GRADE 1,CC.1.5.1
Participate in collaborative conversations with peers and adults in small and larger groups.,1st Grade,Standard,Participate in collaborative conversations with peers and adults in small and larger groups.,CC.1.5.1.A
Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.,1st Grade,Standard,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.,CC.1.5.1.B
Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,1st Grade,Standard,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,CC.1.5.1.C
"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.",1st Grade,Standard,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.",CC.1.5.1.D
Produce complete sentences when appropriate to task and situation. ,1st Grade,Standard,Produce complete sentences when appropriate to task and situation. ,CC.1.5.1.E
"Add drawings or other visual displays when sharing aloud to clarify ideas, thoughts, and feelings.",1st Grade,Standard,"Add drawings or other visual displays when sharing aloud to clarify ideas, thoughts, and feelings.",CC.1.5.1.F
Demonstrate command of the conventions of standard English when speaking based on grade 1 level and content.,1st Grade,Standard,Demonstrate command of the conventions of standard English when speaking based on grade 1 level and content.,CC.1.5.1.G
